footnote_no,footnote
libtech_1_footnote,"1Vide “From 	‘Transvaal Notes’ ”, 12-4-1910"
libtech_2_footnote,"2Vide “From 	‘Transvaal Notes’ ”, 4-4-1910"
libtech_3_footnote,"2Muslims from Kaman, in Central Gujarat"
libtech_4_footnote,"3V. A. Chettiar, 	respected old Chairman of the Tamil Benefit Society, who had been 	arrested on April 5. Vide 	“Transvaal Notes”, 	Indian Opinion, 	9-4-1910."
libtech_5_footnote,"4Vide, 	however, “Transvaal Notes”, Indian 	Opinion, 16-4-1910, 	where the name given is Anandi Alvar."
libtech_6_footnote,"1Messrs Karodia Brothers, well-known Indian merchants of Johannesburg;"
libtech_7_footnote,"1Vide Appendix “Letter from General Manager, C.S.A.R., to Gandhiji”, 11-4-1910."
libtech_8_footnote,"1Vide “Letter to Colonial Secretary”, 12-4-1910"
libtech_9_footnote,"3Vide “Letter to the Press”, 8-4-1910"
libtech_10_footnote,1Vide the 	preceding item.
libtech_11_footnote,"2This letter, 	presumably drafted by Gandhiji, was signed by E. I. Aswat, Acting 	Chairman, British Indian Association."
libtech_12_footnote,"1Vide Appendix 	“Letter from General Manager, C. S. A. R. to Gandhiji”, 	11-4-1910."
libtech_13_footnote,3Hind Swaraj
libtech_14_footnote,"1This letter, 	presumably drafted by Gandhiji, was signed by E. I. Aswat, Acting 	Chairman, British Indian Association."
libtech_15_footnote,1The reference is to 	the fifty-nine Indians deported on 14-4-1910; vide
libtech_16_footnote,"2Vide 	“Johannesburg”,11-4-1910"
libtech_17_footnote,"2He was run over by a motor car on April 11, 1910."
libtech_18_footnote,"1Vide also “Well Done, Chettiar!”, 16-4-1910 and Letter to Director of Prisons”, 19-4-1910"
libtech_19_footnote,"1On 25-2-1910, vide “Debate in the Viceroy’s Council”, Indian Opinion, 9-4-1910."
libtech_20_footnote,2ibid
libtech_21_footnote,"3The Natal Indian Congress, the Durban Indian society, etc. Vide “Death of Mr. Woodhead”, Indian Opinion, 16-4-1910."
libtech_22_footnote,3Not reproduced here. For speeches by others including Dadabhai Naoroji and
libtech_23_footnote,"1This letter, 	presumably drafted by Gandhiji, was signed by A. M. Cachalia, 	Chairman, British Indian Association."
libtech_24_footnote,"1Chairman of the Transvaal Chinese Association; vide “The Supreme Court Case”, 7-5-1910"
libtech_25_footnote,2In the matter of his admitting children of the bhangis to public schools;
libtech_26_footnote,1Demanding a price for a girl (offered in marriage)
libtech_27_footnote,"3Gandhiji’s book Hind Swaraj had been declared seditious and proscribed in India; vide “Johannesburg”, 13-3-1910, “Preface to “Indian Home Rule”, 20-3-1910 and “Our Publications”, 7-5-1910."
libtech_28_footnote,1Scavengers
libtech_29_footnote,"1K. Srinivas Rao, Sub-judge, presiding at a meeting at Tuticorin; Vide “The Beam in India’s Eye”, Indian Opinion, 23-4-1910."
libtech_30_footnote,2Not available
libtech_31_footnote,"1This petition, presumably drafted by Gandhiji, was sent over the signature  of E. I. Aswat, Acting Chairman, British Indian Association."
libtech_32_footnote,"3Vide “Letter 	to G. K. Gokhale”, 6-12-1909"
libtech_33_footnote,"1A Gujarati 	translation appeared in Indian 	Opinion, 7-5-1910."
libtech_34_footnote,1Hermann Kallenbach
libtech_35_footnote,"1Vide “Letter to H. Kallenbach”, 30-5-1910"
libtech_36_footnote,"1This letter, 	presumably drafted by Gandhiji, was signed by E. I. Aswat, Acting 	Chairman of the British Indian Association."
libtech_37_footnote,"1Vide also “Pretoria Municipality”, 30-4-1910"
libtech_38_footnote,"1Vide “Petition to Transvaal Legislative Assembly”, 25-4-1910"
libtech_39_footnote,"2Leading Natal 	Indian satyagrahi, vide 	“Notable 	Discharges”, 30-4-1910"
libtech_40_footnote,"3Vide “Letter 	to the Transvaal Administrator”, 7-6-1910"
libtech_41_footnote,"1Vide “Letter to G. K. Gokhale”,25-4-1910"
libtech_42_footnote,"1This letter, 	presumably drafted by Gandhiji, was sent over the signature of"
libtech_43_footnote,"2Vide “Petition to Transvaal Legislative Assembly”, 25-4-1910"
libtech_44_footnote,"3Vide “ Sarvodaya[-I]”, 16-5-1908, “Sarvodaya[-II]”, 28-5-1908, “Sarvodaya [-III]” 30-5-1908, “Sarvodaya[-IV]”,6-6-1908, “Sarvodaya[-V]”, 13-6-1908, “Sarvodaya[-VI]”,20-6-1908, “Sarvodaya[-VII]”, 27-6-1908, “Sarvodaya[-VIII]” , 4-7-1908 & “Sarvodaya[-IX]”, 18-7-1908."
libtech_45_footnote,"1Vide also “The Supreme Court Case”, 7-5-1910"
libtech_46_footnote,"2It was reproduced in Indian Opinion, 7-5-1910."
libtech_47_footnote,1Vide the 	following item.
libtech_48_footnote,"1This cablegram, 	presumably drafted by 	Gandhiji, was 	sent through the 	Deputy Governor of 	the Transvaal 	on behalf 	of the 	British Indian 	Association by its 	Chairman, A. M. Cachalia, 	on the death of King Edward VII, who had passed away on 6-5-1910."
libtech_49_footnote,"2This letter, 	presumably drafted by Gandhiji, was signed by A. M. Cachalia, 	Chairman, British Indian Association."
libtech_50_footnote,"1Vide “Johannesburg”, 2-5-1910"
libtech_51_footnote,"2Vide also 	“Johannesburg”, 2-5-1910"
libtech_52_footnote,"1Vide also “Mr. Royeppen”, 28-5-1910 and “Joseph Royeppen”, 25-5-1910"
libtech_53_footnote,"2Vide “Indian Barrister’s Gaol Experiences”, Indian Opinion, 7-5-1910."
libtech_54_footnote,"1Member, Legislative 	Assembly, Transvaal"
libtech_55_footnote,2Not reproduced here
libtech_56_footnote,"1A Gujarati saying, meaning, “The truth of the matter is bound to be known sooner or later”"
libtech_57_footnote,"1Vide “Cable to Royal Family”, After 6-5-1910"
libtech_58_footnote,1This appeared as a boxed item within thick black lines.
libtech_59_footnote,4ibid
libtech_60_footnote,"2Vide Appendix 	“W. J. Wybergh’s letter to Gandhiji”, 3-5-1910."
libtech_61_footnote,3A slip for ‘and’
libtech_62_footnote,"1Vide “Johannesburg”, 9-5-1910"
libtech_63_footnote,"2Vide also “Mr. Sodha’s Discharge”, 14-5-1910"
libtech_64_footnote,1This appeared between two thick black lines.
libtech_65_footnote,"2Vide “The Supreme Court Case”, 7-5-1910"
libtech_66_footnote,3Inspector of Nuisances
libtech_67_footnote,"2Literally, power"
libtech_68_footnote,
libtech_69_footnote,1A Gujarati saying
libtech_70_footnote,1Joseph Royeppen
libtech_71_footnote,2Chairman of the Sanitary Committee
libtech_72_footnote,"1This telegram was presumably drafted by Gandhiji. On June 23, the  Secretary replied that Viscount Gladstone could not receive the deputation. Vide “Johannes-burg”’ 27-6-1910"
libtech_73_footnote,"2Reproduced in Indian Opinion, 21-5-1910"
libtech_74_footnote,"3Vide “Letter to the Press”, 2-6-1910"
libtech_75_footnote,"1Memorandum to the Durban Town Council reproduced in Indian Opinion,"
libtech_76_footnote,"2Zulu chief; vide 	“Late Mr. 	Arathoon”, 14-12-1907. After release, he was settled on a farm in 	the Transvaal, where he died in October 1913."
libtech_77_footnote,"1Not reproduced here; the complaints were in respect of sleeping accommodation, water supply, medical facilities and rough treatment of the Indian passengers."
libtech_78_footnote,"2Vide also “Bhayat”, 4-6-1910"
libtech_79_footnote,1Which read as 	follows:
libtech_80_footnote,"1Wednesday, June 1, 	1910"
libtech_81_footnote,"1Presumably drafted by Gandhiji and sent by the British Indian Association. The date is mentioned in the acknowledgement dated July l, 1910, reproduced in Indian Opinion, 16-7-1910."
libtech_82_footnote,"2This letter appears to have been written soon after June 4, when Gandhiji went to stay on Tolstoy Farm, especially from the reference to construction work on the farm. Vide “Johannesburg”, 13-6-1910"
libtech_83_footnote,"1Vide also “Mr. Bhayat”, 4-6-1910"
libtech_84_footnote,"1Gandhiji used to write to Dr. Mehta in Gujarati. The above extract quoted by  Mr. Mehta in his book must be a translation of the original Gujarati, which is not available."
libtech_85_footnote,"1While publishing the cable, India, 10-6-1910, wrote: “Mr. Gandhi adds that the struggle, nevertheless, will go on until justice has been done.”"
libtech_86_footnote,2Vide the following item.
libtech_87_footnote,"3Vide “Letter 	to Director of Prisons”, 3-5-1910"
libtech_88_footnote,"1This letter, 	presumably drafted by 	Gandhiji and 	marked “urgent”, was 	sent by 	E. S. Coovadia, Acting 	Chairman, British 	Indian Association, 	to the Administrator, Pretoria."
libtech_89_footnote,"2The Director of 	Prisons in his reply of 21st June reproduced in Indian 	Opinion, 25-6-1910, 	said: “No threat of lashes has been made, nor would such a 	punishment ever be inflicted for an offence of this nature.”"
libtech_90_footnote,"2Dated 30-5-1910; vide footnote of “Letter to H. Kallenbach”, 30-5-1910"
libtech_91_footnote,"1Vide “Letter to H. Kallenbach”, 30-5-1910"
libtech_92_footnote,"1Chhaganlal Gandhi, Gandhiji’s nephew, whose letter is referred to in the second paragraph, left India for England on June 1, 1910. It took about 17 days for the post to reach South Africa from India."
libtech_93_footnote,"1Vide “The Returned Deportees”, 21-5-1910"
libtech_94_footnote,"1Indian Opinion, 2-7-1910, published a brief summary in the following words: The speaker said that modern civilization was expressed in an attempt to annihilate time and space and in excessive care for the body. The rush of modern life left little time for higher thoughts. It looked downward to the earth, whereas ancient civilization looked upward to Heaven. It kept the body subservient to the soul. It was based on the force of love. It avoided the hateful spirit of competition. It was best expressed in village life as against modern town life."
libtech_95_footnote,"2Wife of Harilal, Gandhiji’s eldest son"
libtech_96_footnote,"3Vide “Letter to Director of Prisons”, 3-5-1910"
libtech_97_footnote,"1Vide “Telegram to Secretary to Viscount Gladstone”, 26-5-1910"
libtech_98_footnote,2Dated 23-6-1910
libtech_99_footnote,"3Motilal M. Dewan, a leading Indian of Natal"
libtech_100_footnote,4Not available
libtech_101_footnote,"1Vide “Speech at Socialist Hall”, 26-5-1910"
libtech_102_footnote,"1The pact was evidently drawn up during this period after the addressee’s offer  of his farm near Lawley for the use of passive resisters and their families;  vide “Letter to H. Kallenbach”, 30-5-1910."
libtech_103_footnote,"1In April, 60 satyagrahis were deported to India. On reaching Bombay, 26 sailed back to court re-arrest. On arrival at Durban, 9 were refused permission to land and sent back. En route, they attempted landing at Zanzibar. Vide also “Passive Resisters”, 18-6-1910, “Satyagrahis”, 18-6-1910 and “Johannesburg”, 9-7-1910."
libtech_104_footnote,"2Kathiawad Arya Mandal, a Durban association of Arya Samajist Hindus from Saurashtra"
libtech_105_footnote,"1Vide “Johannesburg”, 27-6-1910."
libtech_106_footnote,"2Herbert John 	Gladstone (1854-1930); was the first Governor-General and High 	Commissioner for South Africa, 1910-4"
libtech_107_footnote,1At the meeting which passed a resolution thanking Kallenbach; vide
libtech_108_footnote,2Vide the preceding item.
libtech_109_footnote,"3Shankeranand, a Hindu missionary who was in South Africa from 1908 to"
libtech_110_footnote,3Vide the 	following item.
libtech_111_footnote,"1This letter, 	presumably drafted by Gandhiji, was signed by A. M. Cachalia, 	Chairman, British Indian Association."
libtech_112_footnote,"4High Commissioner 	and Governor of the Transvaal, 1905-10"
libtech_113_footnote,"2G. A. Hey, a member of the former Transvaal Parliament, visited India and wrote an article criticizing the slovenly habits of the Indians on board the steamer, and taunting them for asking the Transvaal Government to improve the prisons."
libtech_114_footnote,"3On June 29, J. O’Grady, a Labour member, raised the issue of Transvaal Indians and suggested a Gandhi-Smuts meeting to effect a compromise."
libtech_115_footnote,"1This address, presumably drafted by Gandhiji, was presented by Cachalia."
libtech_116_footnote,"2Early in July, 	the Indian societies 	of Maritzburg and Durban  	sent a  deputation 	to the 	Provincial Administrator 	seeking redress of 	grievances regarding 	the poll-tax, 	educational facilities, trading licences, etc."
libtech_117_footnote,3A Bania sub-caste to which Gandhiji belonged
libtech_118_footnote,"4Dhanji Ranji, an Indian merchant at Verulam"
libtech_119_footnote,"1A summary of Hey’s article mentioned in para I was published in the Gujarati section of Indian Opinion, 9-7-1910."
libtech_120_footnote,5A reply 	was received 	communicating Lord 	Gladstone’s consent to 	receive the 	address along with other public addresses.
libtech_121_footnote,"1Mahomed Goolam, a 	Maritzburg retailer, 	applied in April 	1909 for renewal 	 of his licence. 	The licence 	fee was accepted 	but no 	decision given. 	He continued 	trading till 	December when 	the City Licensing 	Officer rejected the 	application. The 	Town Council upheld his 	decision. Goolam 	then appealed to 	the Supreme 	Court, which 	allowed the appeal 	with costs."
libtech_122_footnote,1Vide footnote 	to preceding item.
libtech_123_footnote,"2Vide footnote 2 to “Letter to Maganlal Gandhi”,  13-7-1910"
libtech_124_footnote,"1Between Jefferies and Johnson at Reno on July 4, 1910"
libtech_125_footnote,"1Vide footnote 1 to “Letter to Maganlal Gandhi”,  13-7-1910"
libtech_126_footnote,"1This was forwarded 	by Ritch to the Colonial Office on August 4, 1910."
libtech_127_footnote,"1The boxing match mentioned in the letter took place at Reno in the U.S.A.  on July 4, 1910, in which year Ashadh Vadi 6 corresponded to July 28."
libtech_128_footnote,1In the House of Commons
libtech_129_footnote,"2Vide “Who Is Uncivilized?”, 23-7-1910"
libtech_130_footnote,3Chanchalbehn Gandhi
libtech_131_footnote,"4The original has this in Tamil script. It means “What you learn, learn faultlessly: [Having learned it, live up to it.]”"
libtech_132_footnote,3Vide the 	following item.
libtech_133_footnote,2Tolstoy Farm
libtech_134_footnote,"1This was published 	in Rand Daily Mail 	under the title, 	“Indian Passive Resisters”."
libtech_135_footnote,"1On July 26, 1910"
libtech_136_footnote,"2Of 29th July; Vide 	Indian Opinion, 	6-8-1910."
libtech_137_footnote,4Indian Opinion 	here has “but they”
libtech_138_footnote,3Indian Opinion 	has “it must simply 	be physical violence”.
libtech_139_footnote,
libtech_140_footnote,5ibid
libtech_141_footnote,
libtech_142_footnote,"1Vide Illustration: Pioneer Settlers of Tolstoy Farm (Supplement to Indian Opinion, 6-8-1910)."
libtech_143_footnote,"2Dated July 27, from London, reproduced in Indian Opinion, 30-7-1910."
libtech_144_footnote,3Of 11-6-1910
libtech_145_footnote,"2In Indian Opinion,  30-7-1910. Vide  also. “Transvaal Indians in the House of Lords”, 6-8-1910."
libtech_146_footnote,1This was published 	in Rand Daily Mail 	under the caption 	“The Passive Resisters”.
libtech_147_footnote,2Indian Opinion 	here has “passive 	resistance prisoners”.
libtech_148_footnote,"1Vide “Natal Licensing Act”, 11-12-1909"
libtech_149_footnote,
libtech_150_footnote,
libtech_151_footnote,"1One Suleman, who was refused transfer of a licence by the Licensing Officer, Estcourt, appcaled to the Estcourt Licensing Board, where his counsel, objecting to the constitution of the Board, refused to proceed. The Licensing Board, however, gave    a decision. The review against this decision was dismissed by the Supreme Court (Natal Division) on August 2."
libtech_152_footnote,"2In Ladysmith, Goga, an Indian retailer, was refused a licence to trade in premises owned by him, although 37 Europeans presented a petition supporting him to the Licensing Officer."
libtech_153_footnote,"1For replies by V. 	Chertkov and Tolstoy, vide 	Appendix “V. 	Chertkov’s letter to Gandhiji”, and (Tolstoy’s letter to 	Gandhiji”, 7-9-1910."
libtech_154_footnote,"2Vide Appendix 	“Tolstoy’s letter to Gandhiji”, 8-5-1910."
libtech_155_footnote,"1The gifts mentioned in paragraph 4 were acknowldged in  Indian  Opinion,"
libtech_156_footnote,"2Son of Amritlal Tulsidas Gandhi, Gandhiji’s cousin"
libtech_157_footnote,1The letter is incomplete.
libtech_158_footnote,"2In the case of Mahomed, son of Chhotabhai, Magistrate Jordan ruled that the inclusion of the son’s name in the father’s registration certificate gave him no right to apply for registration and that the father’s Peace Preservation Permit did not cover the son; hence he dismissed the appeal and ordered deportation."
libtech_159_footnote,"1Vide “Letter 	to Narandas Gandhi”, 29-3-1910"
libtech_160_footnote,"1This was forwarded by Ritch to the Colonial Office on August 30, 1910."
libtech_161_footnote,"3The letter has	(and the burnt flesh 	too), but it should be read (peck away at my flesh)."
libtech_162_footnote,
