chapter_no,date,title,content
1,,LETTER TO G. K. GOKHALE,
2,"August 	1, 1902",LETTER TO DEVCHAND PAREKHlibtech_1_footnote,"
       AGAKHAN’S 	BUILDINGS, 	2 ND FLOOR,  OPPOSITE 	HIGH COURT,  BOMBAY, FORT,  August 	1, 1902 DEAR 	PROF. GOKHALE,  	I think I have told you that if I receive the funds expected from 	Natal, I would settle in Bombay. Having received over Rs. 3000, I 	have opened an office here and propose giving a year’s trial to 	this place.  	I need hardly repeat the assurance that you could command me at any 	time. I 	hope you are doing well constitutionally.  I 	remain, yours truly,  M. K. GANDHI  From 	the photostat of the original: G.N. 3717.       OPPOSITE 	HIGH COURT,  BOMBAY, FORT,  August 	6, 1902 MY 	DEAR DEVCHANDBHAI,  	I did not wish to suggest that Mr. Indrajit should be given any 	responsible work at all. His wish is to act as junior counsel in 	addition to your paid junior. All he wants, I suppose, is to be able 	to say that he appeared as Junior Counsel in a Privy Council case 	and possibly to gain some practical knowledge.  	I have taken up a room from Payne, Gilbert, Sayani and Moos for 	office, and a part of Keshavji Tulsidas’ Bunglow in Girgam Back 	Road for residence. That is all the progress I have made so far.  	I have just finished the welcome draft work that Shukla sent me 	while I was in Rajkot, and am now free to lounge about the High 	Court letting the Solicitors know of an addition to the ranks of the      
 briefless ones.
 Mehta, on my going to him for a blessing, gave me a curse which as he said might prove a blessing. He thought, contrary to my expectations, that I would be foolishly wasting away in Bombay my small savings from Natal. Wachha, I have not yet been able to see. Gokhale is not here. The Solicitors, whom I have seen, say that I would have to wait long before I could get any work from them. The Chief Justice is very anxious for the advancement of the junior barristers and only last week established a moot society for their  benefit.
 Such briefly are the circumstances under which I find myself. The work is uphill. But I do not despair. I rather  appreciate  the regular life and the struggle that Bombay imposes on one. So long, therefore, as the latter does not become unbearable, I am not likely to wish to be out of Bombay.
I am very glad to learn that Manilal is doing so well.
 It is true that my nephew at first sent disappointing reports from Benares: that they provide only two meals per day does still appear to me to be a drawback. But it is yet too soon to pass judgment one way or the other. He will be able to send me more reliable reports after he has become used to his totally new surroundings.
 If the rains fail in Kathiawar this time also, the outlook must bevery serious. I am afraid the joshislibtech_2_footnoteand other weather prophets are good only for evil reports.
Please show this to Shukla.
 Yours truly,
 M. K. GANDHI
 Mahatma, Vol. I; from a photostat.
 
 
 
 
 
 
 
 
 
 
 
  "
3,"November 	3, 1902",LETTER TO D. B. SHUKLA,"
                  MY 	DEAR SHUKLA,     AGAKHAN’S BUILDINGS, 	OPPOSITE HIGH COURT,  BOMBAY,  November 	3, 1902 
  	I have your letter. Yes, I received a cablegram from Natal asking me 	if I could go to London and thence to the Transvaal. I replied 	saying no unless it was absolutely necessary. Just then my children 	were ill and in any case I do not yet feel strong enough for the 	mental strain a visit to London and South Africa would require. I 	have not yet heard in reply to the cable from me.  	I cannot yet say, I have begun to feel my way about here. I am not, 	however, anxious about the future. So far the office work has paid 	my expenses which I see will reach a higher figure than we thought 	there.  	I am very glad you have been retained for the prosecution in the 	Najawala case. For more reasons than one, I hope you will succeed in 	securing a conviction.  	I do not know whether letter-heads for a Barrister are in good 	taste. Whether they are or not, mine are a present from Durban and I 	have been using them though not yet for office work.  	The Plague must have changed the face of Rajkot. I hope it is now on 	the wane.  Yours sincerely,  M. K. GANDHI  From 	the photostat of the original: G.N. 2329. 
  "
4,"November 8, 1902",LETTER TO D. B. SHUKLA,"
  
 
 AGAKHAN’S BUILDINGS, OPPOSITE HIGH COURT,
 BOMBAY,
 November 8, 1902
 
MY DEAR SHUKLA,
 I have received a messagelibtech_3_footnotewith funds requesting me to sail for Natal at once. As I have not left in me sufficient energy to cope with the difficulties there, I have asked certain questions before deciding to leave, so that my way may be Rs smooth as possible under the circumstances, so far at any rate as the internal management is concerned. 99 chances to 1, I will have to leave and that too on the 19th instant. This therefore may be my last letter to you in India. I have not the time to write to Devchand Parekh separately; kindly therefore show this to him. If he is ready to go, or if Vanichand, of whom he talked to me, is ready to go, I shall be prepared to do all I can. South Africa can accommodate 6 Indian Barristers, if not more, and if some, of course of the right stamp, were to come with one eye on their living and the other on public work, much of the burden may be distributed —not to speak of the relief in the pressure here. I am corresponding with another party too.
 Now for self; whether Mrs. Gandhi accompanies me or not will be decided after I receive the reply from Durban. But whether; she does or not, I propose to leave the two boys Gokaldas and Harilal here. They would go to Rajkot as soon as it is free from plague. Benares I have tried but it would not suit. Gondal has no special attractions. The best thing therefore to do is to put them in the Kattywar High School and to keep a trustworthy, paid man who would look after their education. All I have to say to you, then is, please look after the boys, look them up now and then, induce them, if you have no objection, to use your tennis court. I might have also to trouble you to find out the right man for them if I fail in doing so myself.
 
 How is the plague going on there now?
 
 
 From the photostat of the original: G.N. 2330.
 
 
Yours sincerely,
 M. K. GANDHI"
5,"November 	14, 1902",LETTER TO G. K. GOKHALE,"
       OPPOSITE 	HIGH COURT,  BOMBAY,  November 	14, 1902 DEAR 	PROF. GOKHALE,  	When I was just feeling that I had settled down in Bombay, I 	received a message from Natal asking me immediately to go there. 	From the cablegrams exchanged between our people in Natal and my- 	self, I think it is in connection with Mr. Chamberlain’s 	approaching visit to South Africa that I am required there. I 	propose to leave by the first steamer available. That would be 	probably the 20th instant.  	I wish I could meet you before my departure. But that seems 	impossible.  	I hope you will keep an eye on the Indian question in South Africa. 	So long as I am there, I would deem it my duty to keep you informed 	of the position. I consider Lord George Hamilton’s reply to be 	rather hopeful. And if the movement in India were well directed, I 	feel sure that much good will be done to the cause.  	I hope you are keeping good health. Mr. Wachha told me sometime ago 	that you were going to Mahabaleshwar for a change.  I 	remain, yrs 	truly,  M. K. GANDHI  From 	the photostat of the original: G.N. 2245. 
  "
6,"December 25, 1902",DEPUTATION TO CHAMBERLAIN,"
  
 THE NATAL  INDIAN CONGRESS,
 P. O. BOX. 182, CONGRESS HALL,
 DURBAN,
 December 25, 1902
DEAR MR. MAYOR,
 There is an insuperable difficulty in the way of the Indian deputation waiting on the Right Hon. Mr. Chamberlain tomorrow, as it is a Friday, and as it is just the very time for prayer which most of the gentlemen, who are to form the deputation, would be quite unable to forgo. Under the circumstances, I shall be very much obliged if you will be good enough to fix some time on Saturday for the Indian deputation."
7,"December 	27, 1902",PETITION TO CHAMBERLAINlibtech_4_footnote,"
      From 	the office copy in the Sabarmati Sangrahalaya: S.N. 4020.       I 	remain, yours truly,         DURBAN, 
   TO  THE 	RIGHT 	HONOURABLE 	JOSEPH 	CHAMBERLAIN 	HIS 	MAJESTY’S 	PRINCIPAL 	SECRETARY 	OF  STATE 	FOR THE COLONIES 	DURBAN RIGHT 	HONOURABLE SIR, December 	27, 1902 
  	We, the undersigned, representing and on behalf of the British 	Indians residing in the Colony of Natal, respectfully venture to 	draw your attention to the following statement of the legal 	disabilities under which Indian subjects of His Most Gracious 	Majesty the King- Emperor are labouring. The 	Dealers’ Licenses Act, which was promulgated on the 29th    
 day of May, 1897, giving as it does practically absolute power to the Licensing Officer appointed thereunder to grant or refuse applications for licenses to shopkeepers or hawkers, is an engine of very great oppression, and affects a large body of the most respectable and the wealthiest portion of the Indian community in the Colony. There is a right of appeal against the decisions of the Licensing Officers to the local Corporations, Boards or Licensing Boards, as the case may be. It deprives the Supreme Court of its inherent jurisdiction over the judgment of these popular bodies in this matter, and we need hardly point out how popular bodies at times abuse powers vested in them. In course of our previous representations on the subject, we had the honour to draw your attention to cases of real hardship caused by the operation of the Act. Indirectly, it checks a great amount of Indian enterprise, the poorest trader not even venturing to make an application for a license, and all Indian traders remaining under suspense from year’s end to year’s end, for these licenses have to be renewed every year, and are liable under the Act to be refused any year. In response, we believe, to a representation from you to the Natal Government when most Local Boards threatened to wipe out Indian traders wholesale, one Corporation at first refusing all Indian applications, the Natal Government wrote to them saying that, unless they exercised the arbitrary power given by the law to them in a judicial and fair manner, it might have to be revoked. Since then, we must confess, as a rule, the old licenses have not been touched; but it is a law that may involve at any time many an Indian merchant in ruin, and so long as it remains unmodified, it is difficult for us to be at ease. We would venture to quote an instance of gross injustice committed under it. One Mr. Amod Ebrahim, who is able to read, write and speak the English language fluently, a merchant of 17 years’ standing in the Colony, held a trading license for over six years in Greytown. This year, his application, although backed by 138 residents  for  the  transfer of his license from an old building to a new and more suitable one, has been refused without any reasons being given therefor. The Greytown Board passed last year the following resolution in respect of the Indian merchants there:
 That the licenses held by the present Arabs, at the pleasure of the Board, will only be renewed as long as the Arabs hold same, but no fresh licenses will be issued for other Arab tenants for vacated premises.
 The same merchant has also been refused a license in respect of
 his own land in Greytown. The matter was brought before His Excellency the Governor, who has declined to interfere.
 All that we ask for is a restoration to the Supreme Court of its jurisdiction over the decisions of the bodies above mentioned, who, very often, being traders, are interested parties. We have exhausted every means in our power, having gone as far as the Privy Council which has decided that, under the Act, the Supreme Court is powerless to grant substantial relief. We think the Indian community, as has often been acknowledged by the Licensing Officer in Durban, as well as the Sanitary Inspector, is always ready to comply with the sanitary requirements of the law, and we fee] it very keenly that, even when all these have been fulfilled, we may not get licenses to trade merely because of the colour of our skin.
 The Immigration Restriction Act, which was promulgated on the 8th day of May, 1897, directly affects many British Indians intending to emigrate to the Colony and indirectly affects those already settled in it. The clause which tells rather hardly on intending settlers is one imposing the education test whereby a knowledge of one of the European languages is insisted upon. A merchant, well versed in an Indian language, would, under the laws, be a prohibited immigrant. Where, however, it becomes most irksome is when the settlers in the Colony intend to bring out storemen, salesmen, assistants,  clerks,  cooks and other domestic servants. It is not always possible to draw upon the men previously domiciled in the Colony, who under the law are free to enter it whether they have a knowledge of the English language or not. Applications have often been made to the Natal Government to allow facilities for admitting such persons for local requirements, but they have been invariably refused, with very rare exceptions. Moreover, a person domiciled in the Colony is unable to have his parents or his other relations with him, except his wife and minor: children, although they may be dependent upon him. The possibilities for grave mischief under the law are very numerous. To take only one instance: during the war, hundreds of Indian refugees from the Transvaal found themselves unable even to pass through the Colony, unless they could deposit £10 each. The matter became very serious. The Government were twice approached. But it was only when His Excellency the High Commissioner intervened that permission was granted to these refugees to pass through the Colony. That British subjects, neither criminals nor paupers, should find it difficult to enter
 any part of His Majesty’s dominions is a thing very difficult to understand.
 The question of Indian education is becoming day by day more serious. At the same time, we are not blind to the fact that the Government have to contend against great popular prejudice. Be that, however, as it may, it is respectfully submitted that the Indian popu- lation in the Colony, which contributes its quota to its general revenue, is fairly entitled to reasonable facilities for educating  the  Indian youths who are born in Natal, and to whom Natal is their only home. Gentlemen occupying responsible positions under the Government, living entirely in the European style, as many Indian youths having English as their mother tongue, were debarred, in spite of re- presentations to the highest authorities, from sending their children to the ordinary Government schools. Government have been pleased lately to open two Higher Grade Indian schools, one in Durban and the other in Maritzburg, where elementary education is being given, but there are no facilities, after an Indian boy leaves these schools for further education.
 That the indentured Indians, upon whom depends the prosperity of this Colony, after the completion of their indentures, have to pay a polltax of three pounds sterling every year, if they decide to remain in the Colony, is, in our humble opinion and as has been admitted by His Excellency Lord Elgin, bad enough. But now a Bill  has  passed through the Natal Parliament imposing the tax on their children above the age of thirteen years in the case of girls and sixteen years in the case of boys. That Bill is now before you for consideration. All that could be said on it has been said in our memorial laid before you thereon, and seeing that it is so manifestly against British traditions, we feel confident that it will not receive the Royal assent.
 There are other disabilities of perhaps minor importance which we do not propose to dwell upon: for instance, the vexatious Pass Restrictions, both during day time and night time, and alike in country places as in towns. We recognise that so long as there is indentured Indian population in the Colony, some Pass law is necessary, and the remedy probably lies in the judicious administration thereof. Respec- table people, men and women, were only’ lately arrested under the suspicion that they were indentured Indians; one man was out in  search for a doctor for his wife who was in labour. Bail was refused for them. The matter was duly brought before the Government, who
 advised legal steps!
 We are engaged in an incessant struggle for existence in the Colony. We never know when the finality in the list of our disabilities will be reached. There is a serious talk about compelling the time-expired indentured Indians to return to India, and about pre- venting the Indian residents from buying land. The Indian comm- unity is practically without any political power, nor does it aspire to any. When years ago we protested against disfranchisement, we did so because of the degradation it involved, and because it was admittedly an earnest of anti-Indian legislation which was to follow. The Honou- rable Sir John Robinson, at the time of introducing the disfranchising measure, in reply to the fear above referred to, said that no such fear was to be entertained as, after disfranchisement, it would be the special duty of the Legislature to look after the interests of the disfranchised. The disabilities narrated above show how unavailing the Honourable Gentleman’s assurances have been. The colour prejudice born of unreasonable fear of trade competition has been too strong.
 The first two enactments have received the Royal assent, but we trust it will not on that account appear out of place for us to refer to them, seeing that they are a source of constant irritation to us. Nor are we unaware of the slightness of the check that is exercised by the Home Government on the Self-governing Colonies. But we venture to trust that the question now brought before you is of such importance as to belong to the category of those which call for the exercise of whatever power the Home Government may possess over the Self-governing Colonies.
 Ours is not, after all, a question that affects only a few thousand Indians but it is that of the status of His Majesty’s Indian subjects. In the words of the late Sir W. W. Hunter [writing in the London Times]:
 May the British Indians, when they leave India, have the same status before the law as other British subjects enjoy? May they, or may they not, go freely from one British possession to another, and claim the rights of British subjects in allied States?
Regarding Natal, Lord Ripon assured us in one of his despatches
 that:    It 	is the desire of Her Majesty’s Government that the Queen’s 	Indian subjects should be treated upon a footing of equality with 	all Her Majesty’s other subjects. 
 Locally, we have been doing our utmost to deserve a better treatment, as we doubt not the Ministers will inform you.  The Protector of Indian Immigrants, although he deals only with  the lowest, or rather, the poorest, of our countrymen, in his last Report says:
 On the whole, the Indian immigrants resident in this Colony, I am happy to say, still form an orderly, law-abiding and respectable element of the community, and may be considered as generally prosperous.
 We need hardly add more. We know we have your sympathy, and we pray that you will be graciously pleased to exercise your great influence in our behalf.
 We have the honour to remain,
 Your most obedient and humble servants,
 M. K. GANDHI
 AND FIFTEEN OTHERS
 Colonial Office Records: Petitions and Memorials, 1902, C.O. 529/1.
 "
8,"January 2, 1903",LETTER TO COLONIAL. SECRETARY,"
  
 338, PRINSLOO STREET,
 PRETORIA,
 January 2, 1903
TO
 THE HONOURABLE THE COLONIAL SECRETARY PRETORIA
SIR,
 It is the wish of the British Indian community in the Transvaal to lay before the Right Honourable Mr. Joseph Chamberlain its views on the legal disabilities it is labouring under in the Colony as well as the Orange River Colony.
 I have the honour on behalf of the community to enquire whether the Right Honourable Gentleman will be pleased to receive a deputation in the matter and, if so, when.
 From 1894 to the middle of 1901, my countrymen here have been guided by the advice of Mr. Advocate M. K. Gandhi by whom were also prepared most of the representations submitted to the Colonial Office during that time.
The Honourable the Assistant Colonial Secretary, on whom I
 and our secretary, Mr. Hajee Habib, waited this morning, as also did Mr. Gandhi, says that he (Mr. Gandhi) not being a resident of the Transvaal will not be allowed to represent us before Mr. Chamberlain. But as we have not among us one who has studied and knows anti-Indian laws of the late Republic as Mr. Gandhi has and does, and as he has been specially sent for from Bombay, I am to beg respectfully to ask for permission for Mr. Gandhi to accompany the deputation above referred to if the Right Honourable Gentleman graciously consents to receive it.
 I have the honour to remain,
 Sir,
 your most obedient servant,
 TAYOB HAJEE KHAN MAHOMED
 From the photostat of the office copy: S.N. 4023.
 "
9,"January 6, 1903",LETTER TO THE TRANSVAAL GOVERNOR,"
  
 CALCUTTA HOUSE,
 PRETORIA,
 January 6, 1903
TO
THE PRIVATE SECRETARY
 TO HIS EXCELLENCY THE GOVERNOR PRETORIA
SIR,
 I had the honour on the 2nd inst., as Chairman of the British India Committee, to write to the Honourable Colonial Secretary enquiring whether the Right Honourable Mr. Joseph Chamberlain would graciously receive a British Indian deputation in connection with the disabilities of my countrymen residing in the Colony, and protesting against the refusal of the Assistant Colonial Secretary to allow Mr. Advocate M. K. Gandhi to be the spokesman of the deputation. The Assistant Colonial Secretary has after several verbal and written reminders and after 4 days’ delay sent the enclosed reply.libtech_5_footnoteCopy  of  the   letter   to   the   Honourable   the   Colonial   Secretarylibtech_6_footnoteis herewith enclosed.
 I have the honour now to repeat the request for permission for Mr. Gandhi to be our spokesman. The refusal seems to my
 
 Committee, with due respect, to be a most extraordinary procedure. As His Excellency is probably aware, Mr. Gandhi has been hitherto allowed to represent the British Indians here before British officers; as, for instance, he represented us on several  occasions  before  His Honour the British Agent at Pretoria, as well as the British Vice-Consul at Johannesburg, before the war broke out.
 Hostile as the late Republican Government was to our interests, he was moreover allowed to represent us before its members.
 My Committee also desires me to enter its respectful protest against the Supervisor of Asiatics being imposed upon us as our interpreter and spokesman. We have always understood that the Right Honourable Gentleman’s wish is to receive deputations from representatives without any official restraint and the presence of that officer is hardly likely to carry it out.
 I am to request you to place this communication before His Excellency, and I venture to trust that His Excellency will be pleased to give my Committee directions in the matter.libtech_7_footnote
 I have the honour to be, Sir,  
 your obedient servant,
 TAYOB HAJEE KHAN MAHOMED
 Pretoria Archives: Lt. G. 92 & L.G. 2132, No. 97.1.2: Asiatics, 1902/1906.
 "
10,,ADDRESS TO CHAMBERLAINlibtech_8_footnote,"
        PRETORIA, 
   TO  THE 	RIGHT 	HONOURABLE 	JOSEPH 	CHAMBERLAIN 	HIS 	MAJESTY’S 	PRINCIPAL 	SECRETARY  OF 	STATE 	FOR THE COLONIES 	PRETORIA SIR, January [7],libtech_9_footnotelibtech_10_footnote1903 
 We 	the undersigned, representing and on behalf of the Indian      
 subjects of His Most Gracious Majesty the King-Emperor, respectfully venture to draw your attention to the following statement of the legal disabilities under which our countrymen are labouring in the Colony. According to the laws of the late Republic, the British Indians:.
 cannot 	own landed 	property. except in Locations,  are 	bound to 	have their names  	entered  in 	 a  separate register 	within eight days of 	their arrival and 	pay therefor the 	sum of £3, stg., must 	trade and reside 	only in Locations, cannot 	be out after 	9 P.M., 	except on special permission, cannot 	travel on the railways except third class, cannot 	walk on the 	footpaths in 	Johannesburg and 	 Pretoria, cannot, 	in Johannesburg 	and Pretoria, 	drive in hire 	 vehicles, cannot 	own native 	gold or take 	out diggers’ 	 licences. 
 Such, so far as we have been able to ascertain, is the anti-Indian legislaton inherited by the Imperial Government from the late Republic and [it] remains still unrepealed.
 Of these laws and bye-laws, the curfew, the railway travelling, the footpath and the cab regulations, although they were strictly enforced soon after the war, have been latterly considerably relaxed; at the same time, so long as they remain unrepealed, they are apt, at any moment, to be enforced strictly and, in any case, put an unnecessary affront on the Indian community.
 As is well known, the whole of the anti-Indian legislation of the late Boer Government is due to their classing us with the natives of South Africa. Soon after the passing of the London Convention, that Government interpreted the term “Natives of South Africa” to  include British Indians. Against such interpretation and the treatment based thereon, there was on the part of Her late Majesty’s Government, with one unfortunate vacillation arising from a mis- understanding, a continued protest.
 Then, what is more, there was the constant, wholesome fear of the intervention of the British Government in our behalf. The result was that, although the principal law against us was passed in 1885, and although we had to remain in a state of great suspense and uncertainty, most of us were able to ward off the final blow. But, now, the laws stand without such consoling circumstances  surrounding them. The sole duty of the Asiatic Department is to enforce the laws
 affecting us, and to say who shall receive the permits to enter the Colony. While, therefore, the Europeans, whether British subjects or otherwise, get permits practically for the asking, the Indian refugees have to apply to the Supervisor of Asiatics who decides whether he would allow the Permit Officer at the Cape, Natal, or Delagoa Bay, as the case may be, to issue particular permits or not. And, as if this were not enough, the Indian refugees after their arrival are expected to take out what are called residential passes, although these  are  now  no longer necessary for the rest of the inhabitants.
 Whereas, under the lax Boer Administration, many  Indians traded without paying for their licences with full knowledge of the authorities, under the vigilant British Administration such a thing is naturally impossible.
 You, Sir, when appealed to in our behalf, were pleased to say that, although our complaint was admittedly just and that we had your sympathy, you were then powerless to do anything further  than making friendly representations to the late South African Republic. Moreover, when war came, it was declared officially  that  the disabilities of the British Indians were one of its causes.
 With the end of the war, therefore, we thought that  our difficulties would be over. But, so far, unfortunately, the hope has not been realized. The laws above referred to, which are manifestly un-British, are now, as a rule, being enforced with British regularity. The curfew and the other laws which have been relaxed were never rigidly enforced even under the old regime.
 There has been  established  what  is known as the Department  of Asiatic Affairs which, however well-intentioned its  institution  may have been, has been, in practice, an innovation on the old system very much to our disadvantage. When it was inaugurated, we respectfully protested; but it was understood that it was only a temporary department, to be withdrawn on regular business being resumed. Under the old regime, there was no separate department with only Indian matters to attend to.
 There are now, therefore, fewer Indian merchants and storekeepers than before, and the tendency is towards  greater strictness. Some licences were issued at the commencement of the British occupation to those who did not hold the same before the war. The Government have notified their intention not to issue licences to such people. Thus, many of us, who traded before the war without a
 licence and had licences issued to us last year, are new confronted with the prospect of our licences being stopped.
 In Pietersburg, notice has already’ been issued to such holders that they would receive only temporary licences for three months to enable them to sell off their stock.
 The resident Magistrate of Wakkerstroom has informed the Chamber of Commerce that the existing Indian licences will not be renewed this year. Our proper course, we know, is, in such matters, to approach the higher authorities here before appealing to you. We men-tion them only to show how we are at present worse off than before and that it is an incident of the separate administration of Asiatic Affairs, which, moreover, tends to accentuate the distinction between classes.
 To show further how our position is for the time being worse than before, it may be stated that the children of a Government Offi- cer,who were allowed under the Boer regime to attend an ordinary Eu- ropean school, have been, after British occupation, removed from it.
 Just before the outbreak of the war, the Boer Government were trying to remove the present Indian Location at Johannesburg to a place far away   from   town.   A   protest   was   lodged.libtech_11_footnoteMr.   Evans,   the   then Vice-Consul, intervened on our behalf, and the matter was allowed to remain in abeyance. Now, however, it has progressed far enough to fill its residents with alarm. We know that the present medical officer has condemned it in unmeasured terms. But, if it is in an insanitary condition, from what he states, apparently the fault is not one-fourth that of the residents. Its requirements were neglected under the Boer regime. The charge of insanitation against the Indian community has been fully discussed and, we hope, thoroughly refuted in our previous memorials.libtech_12_footnoteWe venture to quote below two medical  certificates  by practitioners of standing.
 Dr. H. Prior Veale, B.A., M. B. B. C. (Cantab), certifies  as follows:
 I have generally found them (Indians) cleanly in their persons and free from the personal diseases due to dirt and careless habits. Their dwellings are generally clean and sanitation is willingly attended to by them. Class considered, I should be of opinion that the lowest-class Indian compares most
 
 favourably with the lowest-class white, that is, the lowest-class Indian lives better and in better habitation and with more regard to sanitary measures thanthe lowest-class white. I have further found that, during the period that small-pox was epidemic in the town and district, and it is still epidemic in the district, although every nation nearly had one or more of its members at some time in the Lazaretto, there was not a single Indian attacked. Generally, in my opinion, it is impossible to object to the Indian on sanitary grounds, provided always, the inspection of the sanitary authorities is made as strictly and regularly for the Indian as for the white.
Dr. F. P. Marais, M. D. (Edin), certifies:
 Having a very extensive practice among these people, I can speak from personal experience, and repeat that they are more cleanly than the poor whites, and if the coloured people were to be moved on account of want of cleanliness, then some of the poor whites will have to suffer the same fate.
But we need not labour the point any further, in view of the fact
 that you were pleased, in reply to our memorial, to declare yourself satisfied that restrictions on our liberty were an outcome of trade jealousy. Nor, perhaps, is it necessary for us to refer to the White Leagues that have been formed in some parts of the Colony. It is a strange irony of fate that, when the famous Uitlander petition was sent to the Home Government, we were invited as brethren to join  in  protest against the Boer misrule and were told how our disabilities were sure to be removed as soon as the Imperial rule was established. Now, these gentlemen are passing resolutions asking the Imperial Government to keep the very disabilities afoot.
 If it is permissible to refer to the anti-Indian legislation in the Orange River Colony, we beg to summarize it below.
Chapter 33 of 1890 prevents any Asiatics from:
  remaining 	in the 	state for 	more than two 	months without 	permission from the President, owning 	landed property,  trading 	or farming, 	and Chapter 	10 levies 	a poll-tax 	of 10 	shillings per 	year when permission has 	been granted subject to 	the restrictions 	above named. 
 Out of the many Indian traders who were settled there, three who struggled for existence up to the last moment were by the late Government expelled from the country under the ordinance referred to, at a loss to them of over nine thousand pounds.
 Amid all these difficulties, we have been able to derive consolation from the fact that they have engaged the close and sympathetic attention of yourself and His Excellency the High Commissioner.
 His Majesty the King-Emperor, according to the newspaper reports, in his message to the people of India at the great Delhi Durbar renews his assurance of his regard for their liberties, rights  and welfare.
 And now, Sir, that you have come to study the Indian Question among many others in the new Colonies, may we hope that, in the near future, the gracious assurance will be translated into an act of freedom for us, in common with other British subjects, to earn ourlivelihood in the new Colonies without being subjected to the indignities and restraints such as have been above described.
 We have the honour to remain, Sir,
 your most obedient and humble servants
 Colonial Office Records: Petitions and Memorials,1903, C.O. 529, Volume 1.
 "
